101000000010661,PONNIE SUGARS (ERODE) LTD,0,1,0.05,INE838E01017,0915-1530|1815-1915:1,2023-01-28,,NSE:PONNIERODE-EQ,10,10,10661,PONNIERODE,10661,-1.0,XX,101000000010661
101000000010666,PUNJAB NATIONAL BANK,0,1,0.05,INE160A01022,0915-1530|1815-1915:1,2023-01-28,,NSE:PNB-EQ,10,10,10666,PNB,10666,-1.0,XX,101000000010666
101000000010676,KOTAKMAMC - KOTAKMNC,4,1,0.01,INF174KA1JF2,0915-1530|1815-1915:1,2023-01-28,,NSE:KOTAKMNC-EQ,10,10,10676,KOTAKMNC,10676,-1.0,XX,101000000010676
101000000010690,BIRLASLAMC - NIFTYQLITY,4,1,0.01,INF209KB15K4,0915-1530|1815-1915:1,2023-01-28,,NSE:NIFTYQLITY-EQ,10,10,10690,NIFTYQLITY,10690,-1.0,XX,101000000010690
101000000010693,BIRLASLAMC - MOMENTUM,4,1,0.01,INF209KB14K7,0915-1530|1815-1915:1,2023-01-28,,NSE:MOMENTUM-EQ,10,10,10693,MOMENTUM,10693,-1.0,XX,101000000010693
101000000010700,SURANA TELECOM AND POW LT,0,1,0.05,INE130B01031,0915-1530|1815-1915:1,2023-01-28,,NSE:SURANAT&P-EQ,10,10,10700,SURANAT&P,10700,-1.0,XX,101000000010700
101000000010717,TIMES GUARANTY LIMITED,0,1,0.05,INE289C01025,0915-1530|1815-1915:1,2023-01-28,,NSE:TIMESGTY-EQ,10,10,10717,TIMESGTY,10717,-1.0,XX,101000000010717
101000000010723,ICICIPRAMC - ICICIINFRA,4,1,0.01,INF109KC16E5,0915-1530|1815-1915:1,2023-01-28,,NSE:ICICIINFRA-EQ,10,10,10723,ICICIINFRA,10723,-1.0,XX,101000000010723
101000000010726,INDIAMART INTERMESH LTD,0,1,0.05,INE933S01016,0915-1530|1815-1915:1,2023-01-28,,NSE:INDIAMART-EQ,10,10,10726,INDIAMART,10726,-1.0,XX,101000000010726
10100000001073,FOSECO INDIA LTD,0,1,0.05,INE519A01011,0915-1530|1815-1915:1,2023-01-28,,NSE:FOSECOIND-EQ,10,10,1073,FOSECOIND,1073,-1.0,XX,10100000001073
101000000010733,SPORTKING INDIA LIMITED,0,1,0.05,INE885H01011,0915-1530|1815-1915:1,2023-01-28,,NSE:SPORTKING-EQ,10,10,10733,SPORTKING,10733,-1.0,XX,101000000010733
101000000010738,ORACLE FIN SERV SOFT LTD.,0,1,0.05,INE881D01027,0915-1530|1815-1915:1,2023-01-28,,NSE:OFSS-EQ,10,10,10738,OFSS,10738,-1.0,XX,101000000010738
101000000010753,UNION BANK OF INDIA,0,1,0.05,INE692A01016,0915-1530|1815-1915:1,2023-01-28,,NSE:UNIONBANK-EQ,10,10,10753,UNIONBANK,10753,-1.0,XX,101000000010753
101000000010755,APTECH LIMITED,0,1,0.05,INE266F01018,0915-1530|1815-1915:1,2023-01-28,,NSE:APTECHT-EQ,10,10,10755,APTECHT,10755,-1.0,XX,101000000010755
101000000010757,HIGHWAYS INFRA TRUST,4,1,0.01,INE0KXY23015,0915-1530|1815-1915:1,2023-01-28,,NSE:HIGHWAYS-IV,10,10,10757,HIGHWAYS,10757,-1.0,XX,101000000010757
10100000001076,ZENSAR TECHNOLOGIES  LTD,0,1,0.05,INE520A01027,0915-1530|1815-1915:1,2023-01-28,,NSE:ZENSARTECH-EQ,10,10,1076,ZENSARTECH,1076,-1.0,XX,10100000001076
101000000010761,DSPAMC - DSPSILVETF,4,1,0.01,INF740KA1RE3,0915-1530|1815-1915:1,2023-01-28,,NSE:DSPSILVETF-EQ,10,10,10761,DSPSILVETF,10761,-1.0,XX,101000000010761
101000000010768,ORIENTAL AROMATICS LTD,0,1,0.05,INE959C01023,0915-1530|1815-1915:1,2023-01-28,,NSE:OAL-EQ,10,10,10768,OAL,10768,-1.0,XX,101000000010768
101000000010786,NOIDA TOLL BRIDGE CO LTD,0,1,0.05,INE781B01015,0915-1530|1815-1915:1,2023-01-28,,NSE:NOIDATOLL-EQ,10,10,10786,NOIDATOLL,10786,-1.0,XX,101000000010786
101000000010791,NUCLEUS SOFTWARE EXPORTS,0,1,0.05,INE096B01018,0915-1530|1815-1915:1,2023-01-28,,NSE:NUCLEUS-EQ,10,10,10791,NUCLEUS,10791,-1.0,XX,101000000010791
101000000010793,SYRMA SGS TECHNOLOGY LTD,0,1,0.05,INE0DYJ01015,0915-1530|1815-1915:1,2023-01-28,,NSE:SYRMA-EQ,10,10,10793,SYRMA,10793,-1.0,XX,101000000010793
101000000010794,CANARA BANK,0,1,0.05,INE476A01014,0915-1530|1815-1915:1,2023-01-28,,NSE:CANBK-EQ,10,10,10794,CANBK,10794,-1.0,XX,101000000010794
101000000010822,MOTILALAMC - MOQUALITY,4,1,0.01,INF247L01BH8,0915-1530|1815-1915:1,2023-01-28,,NSE:MOQUALITY-EQ,10,10,10822,MOQUALITY,10822,-1.0,XX,101000000010822
101000000010825,MOTILALAMC - MOVALUE,4,1,0.01,INF247L01BE5,0915-1530|1815-1915:1,2023-01-28,,NSE:MOVALUE-EQ,10,10,10825,MOVALUE,10825,-1.0,XX,101000000010825
101000000010836,SEYA INDUSTRIES LIMITED,0,1,0.05,INE573R01012,0915-1530|1815-1915:1,2023-01-28,,NSE:SEYAIND-BE,10,10,10836,SEYAIND,10836,-1.0,XX,101000000010836
10100000001085,GABRIEL INDIA LTD,0,1,0.05,INE524A01029,0915-1530|1815-1915:1,2023-01-28,,NSE:GABRIEL-EQ,10,10,1085,GABRIEL,1085,-1.0,XX,10100000001085
101000000010859,DREAMFOLKS SERVICES LTD,0,1,0.05,INE0JS101016,0915-1530|1815-1915:1,2023-01-28,,NSE:DREAMFOLKS-EQ,10,10,10859,DREAMFOLKS,10859,-1.0,XX,101000000010859
101000000010866,FOURTH DIMENSION SOL L,0,1,0.05,INE382T01030,0915-1530|1815-1915:1,2023-01-28,,NSE:4THDIM-BE,10,10,10866,4THDIM,10866,-1.0,XX,101000000010866
101000000010871,GRM OVERSEAS LIMITED,0,1,0.05,INE192H01020,0915-1530|1815-1915:1,2023-01-28,,NSE:GRMOVER-EQ,10,10,10871,GRMOVER,10871,-1.0,XX,101000000010871
101000000010876,HDFCAMC - HDFCSILVER,4,1,0.01,INF179KC1DI2,0915-1530|1815-1915:1,2023-01-28,,NSE:HDFCSILVER-EQ,10,10,10876,HDFCSILVER,10876,-1.0,XX,101000000010876
101000000010893,DHAMPUR BIO ORGANICS LTD,0,1,0.05,INE0I3401014,0915-1530|1815-1915:1,2023-01-28,,NSE:DBOL-EQ,10,10,10893,DBOL,10893,-1.0,XX,101000000010893
101000000010905,GENESYS INTL CORPN LTD,0,1,0.05,INE727B01026,0915-1530|1815-1915:1,2023-01-28,,NSE:GENESYS-EQ,10,10,10905,GENESYS,10905,-1.0,XX,101000000010905
101000000010925,GODREJ INDUSTRIES LTD,0,1,0.05,INE233A01035,0915-1530|1815-1915:1,2023-01-28,,NSE:GODREJIND-EQ,10,10,10925,GODREJIND,10925,-1.0,XX,101000000010925
101000000010939,NIP IND ETF JUNIOR BEES,4,1,0.01,INF732E01045,0915-1530|1815-1915:1,2023-01-28,,NSE:JUNIORBEES-EQ,10,10,10939,JUNIORBEES,10939,-1.0,XX,101000000010939
101000000010940,DIVI S LABORATORIES LTD,0,1,0.05,INE361B01024,0915-1530|1815-1915:1,2023-01-28,,NSE:DIVISLAB-EQ,10,10,10940,DIVISLAB,10940,-1.0,XX,101000000010940
101000000010945,TAMILNAD MERCA BANK LTD,0,1,0.05,INE668A01016,0915-1530|1815-1915:1,2023-01-28,,NSE:TMB-EQ,10,10,10945,TMB,10945,-1.0,XX,101000000010945
101000000010948,THE STATE TRADING CORPN,0,1,0.05,INE655A01013,0915-1530|1815-1915:1,2023-01-28,,NSE:STCINDIA-EQ,10,10,10948,STCINDIA,10948,-1.0,XX,101000000010948
